fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2012,Alabama,Business Programs,16027910,24,2964452
2012,Alabama,Community Facilities,2808761,18,2029509
2012,Alabama,Electric Programs,46990000,2,0
2012,Alabama,Multifamily Housing,25069905,303,11269262
2012,Alabama,Single Family Housing,486125173,4186,50943077
2012,Alabama,Telecommunications Programs,405147,1,0
2012,Alabama,Water and Environmental,27815106,23,8443677
2012,Alaska,Business Programs,13622360,20,8262328
2012,Alaska,Community Facilities,3475921,11,3388421
2012,Alaska,Electric Programs,1443779,2,0
2012,Alaska,Multifamily Housing,5650030,36,2354354
2012,Alaska,Single Family Housing,73768367,388,24143476
2012,Alaska,Telecommunications Programs,976661,2,0
2012,Alaska,Water and Environmental,28286470,24,11899365
2012,Arizona,Business Programs,6870209,25,3798869
2012,Arizona,Community Facilities,14036633,14,3841758
2012,Arizona,Electric Programs,35380000,2,0
2012,Arizona,Multifamily Housing,14886719,96,10370879
2012,Arizona,Single Family Housing,364284970,3047,74936766
2012,Arizona,Telecommunications Programs,872495,3,0
2012,Arizona,Water and Environmental,18422155,89,16675494
2012,Arkansas,Business Programs,16434779,39,5160684
2012,Arkansas,Community Facilities,24195328,37,733000
2012,Arkansas,Electric Programs,410060000,3,0
2012,Arkansas,Multifamily Housing,19783362,238,9143875
2012,Arkansas,Single Family Housing,482475453,4520,60353656
2012,Arkansas,Telecommunications Programs,956852,2,0
2012,Arkansas,Water and Environmental,14019430,35,5838198
2012,California,Business Programs,95962441,120,52638564
2012,California,Community Facilities,23807123,37,16444502
2012,California,Electric Programs,50000000,1,0
2012,California,Multifamily Housing,100841803,395,74907162
2012,California,Single Family Housing,911626963,5496,320583707
2012,California,Telecommunications Programs,14017834,4,0
2012,California,Water and Environmental,61551633,39,22449964
2012,Colorado,Business Programs,16127375,35,5066911
2012,Colorado,Community Facilities,3144062,22,332444
2012,Colorado,Electric Programs,57948000,2,0
2012,Colorado,Multifamily Housing,9655804,90,3454405
2012,Colorado,Single Family Housing,300634583,1803,45049086
2012,Colorado,Telecommunications Programs,494469,2,0
2012,Colorado,Water and Environmental,11002532,13,6323032
2012,Connecticut,Business Programs,175780,16,89500
2012,Connecticut,Community Facilities,5137430,9,200550
2012,Connecticut,Multifamily Housing,7422802,54,292488
2012,Connecticut,Single Family Housing,131429384,746,8327253
2012,Connecticut,Water and Environmental,4734250,7,2616875
2012,Delaware,Business Programs,4624968,11,2419835
2012,Delaware,Community Facilities,6214200,11,1071900
2012,Delaware,Multifamily Housing,5755984,35,2545032
2012,Delaware,Single Family Housing,136379108,761,17090651
2012,Delaware,Water and Environmental,13692917,7,0
2012,District of Columbia,Business Programs,921727,3,0
2012,District of Columbia,Community Facilities,400000,2,0
2012,District of Columbia,Water and Environmental,5750000,1,0
2012,Florida,Business Programs,34487672,33,4883520
2012,Florida,Community Facilities,6541897,13,2648000
2012,Florida,Electric Programs,9266000,1,0
2012,Florida,Multifamily Housing,59969735,554,40875178
2012,Florida,Single Family Housing,810482358,6639,120746423
2012,Florida,Water and Environmental,20401586,12,11829086
2012,Georgia,Business Programs,47776290,81,5197560
2012,Georgia,Community Facilities,12481394,38,7229908
2012,Georgia,Electric Programs,238044709,7,0
2012,Georgia,Multifamily Housing,25953842,409,18467203
2012,Georgia,Single Family Housing,455262675,4405,68997816
2012,Georgia,Telecommunications Programs,145683,1,0
2012,Georgia,Water and Environmental,40589908,21,28439505
2012,Hawaii,Business Programs,8891425,23,348450
2012,Hawaii,Community Facilities,19204094,8,2900000
2012,Hawaii,Electric Programs,73893452,2,0
2012,Hawaii,Multifamily Housing,7021188,22,2862000
2012,Hawaii,Single Family Housing,306145303,955,18702452
2012,Idaho,Business Programs,14781145,70,917876
2012,Idaho,Community Facilities,11187000,20,4652760
2012,Idaho,Electric Programs,13524000,1,0
2012,Idaho,Multifamily Housing,14050723,203,4786660
2012,Idaho,Single Family Housing,194156882,1548,24202466
2012,Idaho,Water and Environmental,20593301,21,11662000
2012,Illinois,Business Programs,26502232,58,839000
2012,Illinois,Community Facilities,15968828,27,85493
2012,Illinois,Electric Programs,2000000,1,0
2012,Illinois,Multifamily Housing,27861424,450,2050919
2012,Illinois,Single Family Housing,462741486,5161,25742735
2012,Illinois,Water and Environmental,40595616,52,1800406
2012,Indiana,Business Programs,18234394,77,7313730
2012,Indiana,Community Facilities,90206200,23,0
2012,Indiana,Electric Programs,11923268,1,0
2012,Indiana,Multifamily Housing,18194024,377,2652014
2012,Indiana,Single Family Housing,550018377,5287,31049003
2012,Indiana,Telecommunications Programs,1097759,2,0
2012,Indiana,Water and Environmental,27499766,18,55783
2012,Iowa,Business Programs,24580704,145,2000000
2012,Iowa,Community Facilities,71097864,44,208380
2012,Iowa,Electric Programs,113359000,5,0
2012,Iowa,Multifamily Housing,23795653,515,1959965
2012,Iowa,Single Family Housing,239233866,2513,11877847
2012,Iowa,Water and Environmental,17630378,26,0
2012,Kansas,Business Programs,20853472,99,4248558
2012,Kansas,Community Facilities,25551418,22,28000
2012,Kansas,Electric Programs,106526940,8,0
2012,Kansas,Multifamily Housing,9477161,263,1220889
2012,Kansas,Single Family Housing,210100915,2144,14486046
2012,Kansas,Telecommunications Programs,23295804,3,0
2012,Kansas,Water and Environmental,54319885,48,9474756
2012,Kentucky,Business Programs,53779850,68,6382482
2012,Kentucky,Community Facilities,90597324,40,5132897
2012,Kentucky,Electric Programs,72516775,4,0
2012,Kentucky,Multifamily Housing,17636847,314,6697830
2012,Kentucky,Single Family Housing,472948210,4462,44902538
2012,Kentucky,Telecommunications Programs,1109663,3,0
2012,Kentucky,Water and Environmental,36379095,48,5663895
2012,Louisiana,Business Programs,39760979,30,12283925
2012,Louisiana,Community Facilities,1876630,12,826752
2012,Louisiana,Electric Programs,64271210,1,0
2012,Louisiana,Multifamily Housing,34086313,226,15268891
2012,Louisiana,Single Family Housing,780834547,5561,110509669
2012,Louisiana,Water and Environmental,23886757,14,11592157
2012,Maine,Business Programs,4328076,45,1104275
2012,Maine,Community Facilities,14718410,22,1880163
2012,Maine,Electric Programs,2617569,1,0
2012,Maine,Multifamily Housing,28691203,275,3393311
2012,Maine,Single Family Housing,307885816,2299,6877255
2012,Maine,Telecommunications Programs,761151,2,0
2012,Maine,Water and Environmental,13147408,25,80000
2012,Maryland,Business Programs,2105443,32,368464
2012,Maryland,Community Facilities,8002600,19,3168300
2012,Maryland,Electric Programs,101324000,2,0
2012,Maryland,Multifamily Housing,13760672,114,6244008
2012,Maryland,Single Family Housing,453200090,2232,23654214
2012,Maryland,Water and Environmental,10525300,13,0
2012,Massachusetts,Business Programs,3585557,33,50603
2012,Massachusetts,Community Facilities,7142696,17,0
2012,Massachusetts,Multifamily Housing,9800167,64,896400
2012,Massachusetts,Single Family Housing,234818210,1221,1628201
2012,Massachusetts,Water and Environmental,10001059,18,114553
2012,Michigan,Business Programs,28018935,98,778110
2012,Michigan,Community Facilities,29429826,76,4619800
2012,Michigan,Electric Programs,23875630,1,0
2012,Michigan,Multifamily Housing,32465792,532,7403692
2012,Michigan,Single Family Housing,701165972,7164,33461332
2012,Michigan,Telecommunications Programs,359562,2,0
2012,Michigan,Water and Environmental,68207321,52,4909000
2012,Minnesota,Business Programs,18030041,131,2698854
2012,Minnesota,Community Facilities,94376095,54,7549359
2012,Minnesota,Electric Programs,92926000,7,0
2012,Minnesota,Multifamily Housing,21863228,420,3388163
2012,Minnesota,Single Family Housing,456527954,3943,30927671
2012,Minnesota,Telecommunications Programs,152670,1,0
2012,Minnesota,Water and Environmental,37753506,51,5845180
2012,Mississippi,Business Programs,33460576,55,27037141
2012,Mississippi,Community Facilities,9020165,38,8603501
2012,Mississippi,Electric Programs,170442000,4,0
2012,Mississippi,Multifamily Housing,40081311,351,28940660
2012,Mississippi,Single Family Housing,362257524,3239,69128924
2012,Mississippi,Telecommunications Programs,157508,1,0
2012,Mississippi,Water and Environmental,13600230,31,5491569
2012,Missouri,Business Programs,29970238,98,7152989
2012,Missouri,Community Facilities,51301276,59,597608
2012,Missouri,Electric Programs,96018000,9,0
2012,Missouri,Multifamily Housing,17724990,922,5429827
2012,Missouri,Single Family Housing,581002158,5616,69547094
2012,Missouri,Telecommunications Programs,555857,3,0
2012,Missouri,Water and Environmental,43165093,46,14128226
2012,Montana,Business Programs,11195142,31,1034685
2012,Montana,Community Facilities,68784366,27,5231484
2012,Montana,Multifamily Housing,5815341,209,813656
2012,Montana,Single Family Housing,223162702,1489,8100109
2012,Montana,Telecommunications Programs,295117,1,0
