AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,Subprogram,InitialInterestRate,FixedOrVariableInterestInd,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported,SoldSecMrktInd
12/31/2024,7A,Southwest Grill Raleigh LLC,7850 Alexander Promenade Place,RALEIGH,NC,27617,The Fidelity Bank,11507,None,100 S Main St,FUQUAY VARINA,NC,27526,1237000,927750,7/14/2024,2024,8/12/2024,PLP,Guaranty,10.75,V,120,722513,Limited-Service Restaurants,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,16,Y
12/31/2024,7A,Southwest Grill Downtown LLC,359 BLACKWELL ST,DURHAM,NC,27701,The Fidelity Bank,11507,None,100 S Main St,FUQUAY VARINA,NC,27526,1114000,835500,7/14/2024,2024,8/12/2024,PLP,Guaranty,10.75,V,120,722513,Limited-Service Restaurants,NA,NA,DURHAM,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,16,Y
12/31/2024,7A,Southwest Grill Chapel Hill LL,5332 MCFARLAND RD,DURHAM,NC,27707,The Fidelity Bank,11507,None,100 S Main St,FUQUAY VARINA,NC,27526,860000,645000,7/14/2024,2024,8/12/2024,PLP,Guaranty,10.75,V,120,722513,Limited-Service Restaurants,NA,NA,DURHAM,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,32,Y
12/31/2024,7A,Let Mommy Sleep San Antonio,9833 Ripple Drive,WILLIAMSPORT,MD,21795,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,75000,63750,10/15/2023,2024,11/6/2023,PLP,Guaranty,11.5,V,120,624410,Child Day Care Services,NA,NA,WASHINGTON,MD,BALTIMORE DISTRICT OFFICE,06,CORPORATION,New Business or 2 years or less,PIF,11/30/2024,NA,0,0,16,Y
12/31/2024,7A,Shri Hari Hospitality LLC,601 MARINE BLVD,JACKSONVILLE,NC,28540,"Harvest Small Business Finance, LLC",None,None,24422 Avenida de la Carlota,Laguna Hills,CA,92653,569000,426750,6/18/2024,2024,7/9/2024,PLP,Guaranty,11,V,300,721110,Hotels (except Casino Hotels) and Motels,NA,NA,ONSLOW,NC,NORTH CAROLINA DISTRICT OFFICE,03,INDIVIDUAL,New Business or 2 years or less,EXEMPT,NA,NA,0,0,4,Y
12/31/2024,7A,S.S.A.L.T. LLC,253 Plantation Dr,Youngsville,NC,27596,Northeast Bank,19690,None,35 Canal St,LEWISTON,ME,04240,50000,42500,6/18/2024,2024,6/28/2024,PLP,Guaranty,11.25,V,120,238290,Other Building Equipment Contractors,NA,NA,FRANKLIN,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,1,Y
12/31/2024,7A,Pender Pediatric Therapy PC,101 East Satchwell Street,BURGAW,NC,28425,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,6/18/2024,2024,7/1/2024,PLP,Guaranty,15,V,120,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",NA,NA,PENDER,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Bethesda Spine & Posture L.L.C,4733 Elm St,Bethesda,MD,20814,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,400000,300000,5/8/2024,2024,NA,PLP,Guaranty,11.5,V,120,621310,Offices of Chiropractors,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,5,NA
12/31/2024,7A,Kinetic Asset Holdings LLC,10097 PATTERSON PARK RD,ASHLAND,VA,23005,"SouthState Bank, National Association",33555,None,1101 First St South,WINTER HAVEN,FL,33880,1860800,1395600,5/8/2024,2024,5/17/2024,PLP,Guaranty,10.5,V,126,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,NA,NA,HANOVER,VA,RICHMOND DISTRICT OFFICE,01,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,32,NA
12/31/2024,7A,TAHRI C.P.A. PLLC,12712 DIRECTORS LOOP,WOODBRIDGE,VA,22192,First Bank of the Lake,26960,None,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065,120000,102000,5/8/2024,2024,5/23/2024,PLP,Guaranty,14.5,V,120,541211,Offices of Certified Public Accountants,NA,NA,PRINCE WILLIAM,VA,RICHMOND DISTRICT OFFICE,01,PARTNERSHIP,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,NA
12/31/2024,7A,Immersive Strategies,1633 LANG PL NE,WASHINGTON,DC,20002,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,50000,25000,5/8/2024,2024,5/28/2024,SBA Express,FA$TRK (Small Loan Express),11.74,F,60,561920,Convention and Trade Show Organizers,NA,NA,DISTRICT OF COLUMBIA,DC,WASHINGTON DISTRICT OFFICE,00,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,NA
12/31/2024,7A,Spray Net Charlotte,5540 Centerview Dr Ste 204,RALEIGH,NC,27606,First Bank of the Lake,26960,None,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065,317500,238125,5/8/2024,2024,5/13/2024,PLP,Guaranty,10.75,V,120,238320,Painting and Wall Covering Contractors,S2684,Spray Net,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,6,NA
