country,year,population
Afghanistan,Y1995,17586073
Afghanistan,Y1996,18415307
Afghanistan,Y1997,19021226
Afghanistan,Y1998,19496836
Afghanistan,Y1999,19987071
Afghanistan,Y2000,20595360
Afghanistan,Y2001,21347782
Afghanistan,Y2002,22202806
Afghanistan,Y2003,23116142
Afghanistan,Y2004,24018682
Afghanistan,Y2005,24860855
Afghanistan,Y2006,25631282
Afghanistan,Y2007,26349243
Afghanistan,Y2008,27032197
Afghanistan,Y2009,27708187
Afghanistan,Y2010,28397812
Afghanistan,Y2011,29105480
Afghanistan,Y2012,29824536
Afghanistan,Y2013,30551674
Albania,Y1995,3357858
Albania,Y1996,3341043
Albania,Y1997,3331317
Albania,Y1998,3325456
Albania,Y1999,3317941
Albania,Y2000,3304948
Albania,Y2001,3286084
Albania,Y2002,3263596
Albania,Y2003,3239385
Albania,Y2004,3216197
Albania,Y2005,3196130
Albania,Y2006,3179573
Albania,Y2007,3166222
Albania,Y2008,3156608
Albania,Y2009,3151185
Albania,Y2010,3150143
Albania,Y2011,3153883
Albania,Y2012,3162083
Albania,Y2013,3173271
Algeria,Y1995,29315463
Algeria,Y1996,29845208
Algeria,Y1997,30345466
Algeria,Y1998,30820435
Algeria,Y1999,31276295
Algeria,Y2000,31719449
Algeria,Y2001,32150198
Algeria,Y2002,32572977
Algeria,Y2003,33003442
Algeria,Y2004,33461345
Algeria,Y2005,33960903
Algeria,Y2006,34507214
Algeria,Y2007,35097043
Algeria,Y2008,35725377
Algeria,Y2009,36383302
Algeria,Y2010,37062820
Algeria,Y2011,37762962
Algeria,Y2012,38481705
Algeria,Y2013,39208194
American Samoa,Y1995,52874
American Samoa,Y1996,53926
American Samoa,Y1997,54942
American Samoa,Y1998,55899
American Samoa,Y1999,56768
American Samoa,Y2000,57522
American Samoa,Y2001,58176
American Samoa,Y2002,58729
American Samoa,Y2003,59117
American Samoa,Y2004,59262
American Samoa,Y2005,59117
American Samoa,Y2006,58652
American Samoa,Y2007,57919
American Samoa,Y2008,57053
American Samoa,Y2009,56245
American Samoa,Y2010,55636
American Samoa,Y2011,55274
American Samoa,Y2012,55128
American Samoa,Y2013,55165
Andorra,Y1995,63854
Andorra,Y1996,64274
Andorra,Y1997,64090
Andorra,Y1998,63799
Andorra,Y1999,64084
Andorra,Y2000,65399
Andorra,Y2001,68000
Andorra,Y2002,71639
Andorra,Y2003,75643
Andorra,Y2004,79060
Andorra,Y2005,81223
Andorra,Y2006,81877
Andorra,Y2007,81292
Andorra,Y2008,79969
Andorra,Y2009,78659
Andorra,Y2010,77907
Andorra,Y2011,77865
Andorra,Y2012,78360
Andorra,Y2013,79218
Angola,Y1995,12104952
Angola,Y1996,12451945
Angola,Y1997,12791388
Angola,Y1998,13137542
Angola,Y1999,13510616
Angola,Y2000,13924930
Angola,Y2001,14385283
Angola,Y2002,14886574
Angola,Y2003,15421075
Angola,Y2004,15976715
Angola,Y2005,16544376
Angola,Y2006,17122409
Angola,Y2007,17712824
Angola,Y2008,18314441
Angola,Y2009,18926650
Angola,Y2010,19549124
Angola,Y2011,20180490
Angola,Y2012,20820525
Angola,Y2013,21471618
Anguilla,Y1995,9807
Anguilla,Y1996,10063
Anguilla,Y1997,10305
Anguilla,Y1998,10545
Anguilla,Y1999,10797
Anguilla,Y2000,11071
Anguilla,Y2001,11371
Anguilla,Y2002,11693
Anguilla,Y2003,12023
Anguilla,Y2004,12342
Anguilla,Y2005,12637
Anguilla,Y2006,12903
Anguilla,Y2007,13145
Anguilla,Y2008,13365
Anguilla,Y2009,13571
Anguilla,Y2010,13768
Anguilla,Y2011,13956
Anguilla,Y2012,14132
Anguilla,Y2013,14300
Antigua and Barbuda,Y1995,68349
Antigua and Barbuda,Y1996,70245
Antigua and Barbuda,Y1997,72232
Antigua and Barbuda,Y1998,74206
Antigua and Barbuda,Y1999,76041
Antigua and Barbuda,Y2000,77648
Antigua and Barbuda,Y2001,78972
Antigua and Barbuda,Y2002,80030
